,S&P 500,Nasdaq 100,US Small Caps,Euro Stoxx 50,UK FTSE,MSCI EM,Japan,US IG,US HY,EU IG,EU HY,EM Bond,Gold,Commodity
ETF 58,0.9977285519234201,0.9400116934927726,0.8588281627418767,0.6085149995120634,0.5483407529280409,0.42151638020875615,0.208618752481865,0.2098759397628827,0.6343533571580539,0.1823773224990849,0.4144092397314713,0.4432535297492326,0.09118557609227479,0.29508466832708136
ETF 59,0.9669160284159262,0.892575789636783,0.8713679133171095,0.7472810799888915,0.6737409895803447,0.5424910225428224,0.33130983047850043,0.27886919791969833,0.720157683162391,0.23989931043472995,0.5213219218432508,0.5523022434640921,0.14044090844218216,0.3390071458043092
ETF 60,0.6287323900946105,0.5251686304374177,0.6243371082735275,0.994049506170799,0.8636485499698118,0.5568884699544252,0.3369798553202877,0.19990938511411005,0.6258350801375958,0.19175611118284558,0.5486052237495445,0.5427974772786461,0.04264345077989015,0.28208666639282787
ETF 61,0.03481837553021912,0.07687416317168477,0.05200692963930461,-0.009066901337722871,-0.07187176222490714,0.012022319475437651,0.0058996458215306675,0.8991128795775765,0.31722401862028227,0.5684797858134947,0.13185076529133608,0.44441007515410647,0.3309200677919847,-0.0098931809307006
ETF 62,0.9776595733494001,0.9062322625578051,0.8784681870061493,0.6051087456564339,0.5410816527376145,0.4078895416016693,0.2010157938894819,0.24580003538161813,0.6422727103016557,0.20952507483354077,0.4116403413951434,0.4550151370424891,0.11291563418035047,0.27757888425212107
ETF 63,0.944057568599805,0.8886042039101869,0.8499572726052791,0.7435025210695865,0.6629642750242846,0.5901075870400956,0.3726916979887311,0.260495931971809,0.7003859489034555,0.23470386814272357,0.5214927423680682,0.5373557497868738,0.0924008348043012,0.3022813403754858
ETF 64,-0.024884947740055216,-0.03459877240332346,-0.03455558675268484,-0.003804977858030973,-0.01783814381446436,0.006619119757427707,-0.018627866213257696,-0.021604814969890536,-0.009767588058952028,-0.027532738158953955,-0.0036170344103447407,0.012615086464329898,-0.017186250978999992,-0.0003419505993171458
ETF 65,0.20454019966850417,0.18041875674984886,0.21852139139167212,0.1929695267091742,0.13833324005251102,0.22136157792471656,0.13223916891384987,0.5257915034577784,0.4890163265100222,0.9230614809950428,0.5075627406110301,0.5255626738933615,0.19917488274679923,0.08821414274520595
ETF 66,0.5974138581882571,0.47557845744150457,0.5981652217098412,0.9795643226130876,0.8638782034919441,0.5353416714966167,0.3268712485184647,0.17600685263135454,0.6077344581139009,0.1785636333092784,0.5396503336944616,0.5296964477450662,0.01904746895619913,0.2775168649952162
ETF 67,0.9441315546816464,0.8876016933854269,0.8244961368538501,0.5434209201895773,0.5082263132685028,0.3394555143764891,0.17726404915559754,0.13098189750118108,0.5356884239540316,0.15082445548802026,0.3528374975873147,0.33193836283150574,-0.01880921043746958,0.24159595579299672
ETF 68,0.9646035554851895,0.9007640725675893,0.8584301478831738,0.7487886322494878,0.6820122593736657,0.5870556768629768,0.3641867925774922,0.23718900241002677,0.6969301882864055,0.2176183018739114,0.5251936470102508,0.5321748812841964,0.07650867354463081,0.3103014471570052
ETF 69,0.8236956028083854,0.8409742491460959,0.787207206850257,0.6543263404931428,0.5380670095843217,0.602482478905259,0.44450086193314614,0.3218714523835473,0.6771450285771997,0.27849539268603773,0.5019855222049509,0.5505357703369402,0.1513009114812346,0.2917121398737048
ETF 70,0.07884465849378765,0.10349561364070563,0.08077039747690076,0.035948264251832424,-0.04095347146673606,0.007917778701545078,-0.03156220654543373,0.5378198886694614,0.2618648732382967,0.8396631943683809,0.18744462674811208,0.37017380791155857,0.2560814867790055,-0.004771629751854025
ETF 71,0.6265910408152728,0.5118724277066468,0.6136955120710119,0.9698909021191332,0.9048585350518011,0.5690347686955914,0.3497147947490616,0.20343491298091756,0.6350638899952641,0.2050888680557871,0.5571735328631927,0.5427629147578383,0.054089284984102086,0.3172793521374033
ETF 72,0.006921073114144708,0.012729358038745925,0.0022779192217659843,-0.0008281524666917756,-0.003105601394757967,-0.007745086712128852,0.016814465841801064,-0.010363560678982106,0.012714239877692947,0.01862016461140085,0.030393529195664657,-0.006428737401281595,0.010645945959439896,-0.026818581462967082
ETF 73,0.4070597699210206,0.3228083320038662,0.40145876028080035,0.5388008639222239,0.5496431833261984,0.7649416653858822,0.5430664590485336,0.2317472148529876,0.5640488110619292,0.2739215547858455,0.600041754107093,0.5530405733905536,0.19910736098967655,0.34061996415383905
ETF 74,0.932456363505448,0.9999910487725817,0.7703863477954935,0.515252742585069,0.41564076539489736,0.37987261620169016,0.16541100439631823,0.21401380438625436,0.5580780381513076,0.17294890806577834,0.3184001078812634,0.3820889172959072,0.08720077909453597,0.22843015276211348
ETF 75,0.7819999441427667,0.8189305981891732,0.7619629571242352,0.5122655592638328,0.41410081941764326,0.4025935095557681,0.23066220907044188,0.26396147180692303,0.5608407441981063,0.21993485808629096,0.3683530105156449,0.4088743219175913,0.1271209444139671,0.2563836010030091
ETF 76,0.20277296087152505,0.2007713869479505,0.2099999817850235,0.21831844182852228,0.13626676583148822,0.2549659192689737,0.14546534126874194,0.9178684245371352,0.5848245587142238,0.6781360848902463,0.4368683317722906,0.6698939598423987,0.39829525896786494,0.1268156714162966
ETF 77,0.9655005397592724,0.8997558044949188,0.8580895653847683,0.7368039406467382,0.6566164494655812,0.5308785530394604,0.3263473259652689,0.2780914569467694,0.7108425368053977,0.24122055685231913,0.5104903451316951,0.5452262982624279,0.13039049475179604,0.31638857395934494
ETF 78,0.18869796244538267,0.17605763107578232,0.1985781889927566,0.17433918116737182,0.10656880712545125,0.20107583191732067,0.12426587431480708,0.6021980671402309,0.48221269992392773,0.984214371886245,0.49521567782258114,0.5541391644095989,0.23785648489551475,0.07061852757387364
ETF 79,0.5948664683791366,0.44740919737967716,0.6125036010269544,0.9354209364464944,0.9002530148814064,0.5444500259355867,0.3386208940756219,0.1333560717702485,0.5905589893762275,0.13623439667377382,0.5459947066890497,0.4921852170381772,0.02149705235529428,0.3330260995004366
ETF 80,0.9989845696969268,0.9349556080058465,0.8819276633864538,0.6261279390563488,0.566524897528671,0.43780194041261145,0.2191332380959541,0.22395349103434026,0.6519637590805775,0.19353984658909074,0.4342804053198139,0.46136627073923675,0.09696583835259544,0.3056435534759595
ETF 81,0.40994158012245774,0.36389073917121517,0.3942216487948601,0.5335991858609532,0.5236903628132019,0.9967800866828718,0.5137138353215355,0.18857298626478716,0.5343159229520643,0.22709624053353142,0.594383337441514,0.5587774624618979,0.11866581379075594,0.3042166815578168
ETF 82,0.15304437973003845,0.12372291136630037,0.15241644722457096,0.22994803361687843,0.21941164307052868,0.4536686984996512,0.8354211589257835,0.2638945885494074,0.3078106405660582,0.27822115454796953,0.3881670741379985,0.34857206704056115,0.20016716965411044,0.1726107678715547
ETF 83,0.988223712549168,0.9222657455886233,0.8590087795714783,0.6139061448286673,0.5493386515168087,0.42005836420821613,0.2179894540874139,0.22054323634512055,0.6390664770675836,0.18983451306150015,0.41295593650439366,0.4461235413128513,0.07747168662314573,0.2758094752973126
ETF 84,0.9401404294781865,0.9011770489335512,0.8218822515585452,0.6470940088547084,0.5864992141547115,0.4259485958113147,0.27950943530968314,0.18067804077291588,0.595875453758291,0.19984136970743877,0.4209794395368401,0.4043676814400684,-0.003462440623375208,0.2422653520092471
ETF 85,0.5421885840236798,0.4585280809923898,0.5020541600020281,0.8191175164438042,0.7684725193506442,0.45197980883002364,0.2867887937539698,0.17242738248917122,0.5165696155246371,0.1743950847758596,0.4467310450934034,0.4459998961302843,0.033702587163241135,0.21296386625339886
ETF 86,0.17240749267266628,0.16187645335220466,0.18294757286935995,0.15915172107370917,0.08836460136675095,0.19579777600566378,0.12340473980783294,0.596204217350954,0.4662160567316803,0.9984982267101354,0.49154007469760475,0.5489594381572307,0.231131635957774,0.059023502687612944
ETF 87,0.3700247663982197,0.3048784286439933,0.37786918979080414,0.502830024650673,0.4552936193640161,0.6712924497191167,0.3004681188510882,0.3977214392196486,0.6370038603216037,0.3853759553030391,0.5761808849714856,0.7265705217560383,0.2660654688400386,0.2956298829258609
ETF 88,0.8431724497139573,0.7245402156524163,0.6939252693381519,0.49986970608173886,0.4956283669569056,0.3169469800110302,0.15990716704262667,0.1843743115002684,0.5373272421660605,0.166122628569013,0.36001521586300217,0.38638703618759385,0.07590376028507251,0.2077031259121567
ETF 89,0.6286612338844175,0.5250931844600136,0.6243131983287691,0.9940564563475317,0.8636655731309064,0.556870709948877,0.33700103900967565,0.1998824462020477,0.6257900230017465,0.1917533157162872,0.5486138295044826,0.5427972772198159,0.04263108291824303,0.282081142239374
ETF 90,-0.15309411292800174,-0.09598951904856932,-0.14647485951488376,-0.25729443585600636,-0.2675455376055251,-0.23988489888309222,-0.1601056847152147,0.43669060906586343,-0.06888528674038288,0.49422926409303836,-0.10720496472123903,0.04567894088288078,0.08097641741462383,-0.1418715980796248
